Time: 0.020258000 seconds | std::__1::set<cpp2::Struct14, std::__1::less<cpp2::Struct14>, std::__1::allocator<cpp2::Struct14> >::insert;
Time: 0.019995000 seconds | std::__1::map<std::__1::vector<long long, std::__1::allocator<long long> >, bool, std::__1::less<std::__1::vector<long long, std::__1::allocator<long long> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<long long, std::__1::allocator<long long> >, bool> > >::operator[];
Time: 0.019508999 seconds | std::__1::map<int, std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > >, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > > > > >::operator[];
Time: 0.019324999 seconds | std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >::operator[];
Time: 0.019260999 seconds | std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::map<std::__1::basic_string<char>, long long, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > > >;
Time: 0.018923999 seconds | std::__1::map<signed char, std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > > > > >::operator[];
Time: 0.018524000 seconds | std::__1::map<bool, signed char, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, signed char> > >::operator[];
Time: 0.018317999 seconds | std::__1::set<cpp2::Struct18, std::__1::less<cpp2::Struct18>, std::__1::allocator<cpp2::Struct18> >::insert;
Time: 0.016983000 seconds | std::__1::set<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >, std::__1::less<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> > >, std::__1::allocator<std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> > > >::insert;
Time: 0.016845999 seconds | std::__1::set<cpp2::Struct7, std::__1::less<cpp2::Struct7>, std::__1::allocator<cpp2::Struct7> >::insert;
Time: 0.016721999 seconds | std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >::insert;
Time: 0.015963000 seconds | std::__1::swap;
Time: 0.015814000 seconds | std::__1::set<cpp2::Struct12, std::__1::less<cpp2::Struct12>, std::__1::allocator<cpp2::Struct12> >::insert;
Time: 0.015629000 seconds | std::__1::pair<const cpp2::Struct8, cpp2::Struct7>;
Time: 0.015054999 seconds | std::__1::map<short, std::__1::vector<float, std::__1::allocator<float> >, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, std::__1::vector<float, std::__1::allocator<float> > > > >;
Time: 0.015045999 seconds | std::__1::map<cpp2::Struct8, cpp2::Struct7, std::__1::less<cpp2::Struct8>, std::__1::allocator<std::__1::pair<const cpp2::Struct8, cpp2::Struct7> > >;
Time: 0.015041999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<long long, short, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, short> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<long long, short, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, short> > > > > >::operator[];
