Time: 0.012739999 seconds | std::__1::__hash_value_type<short, apache::thrift::reflection::StructField>;
Time: 0.012669999 seconds | std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >::insert;
Time: 0.012527000 seconds | std::__1::make_shared<std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > >>;
Time: 0.012360999 seconds | std::__1::map<std::__1::basic_string<char>, signed char, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, signed char> > >::operator[];
Time: 0.011929000 seconds | std::__1::unordered_map<std::__1::basic_string<char>, long long, std::__1::hash<std::__1::basic_string<char> >, std::__1::equal_to<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > >;
Time: 0.011818999 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >::operator[];
Time: 0.011477000 seconds | std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > >::operator[];
Time: 0.011289999 seconds | std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > >::operator[];
Time: 0.011072999 seconds | std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >::operator[];
Time: 0.010861000 seconds | std::__1::map<signed char, std::__1::basic_string<char>, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, std::__1::basic_string<char> > > >::operator[];
Time: 0.010790000 seconds | std::__1::map<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >::operator[];
