Time: 0.007304999 seconds | std::__1::vector<std::__1::pair<float, cpp2::Struct1>, std::__1::allocator<std::__1::pair<float, cpp2::Struct1> > >::reserve;
Time: 0.007291000 seconds | std::__1::vector<unsigned short, std::__1::allocator<unsigned short> >::push_back;
Time: 0.007282999 seconds | std::__1::vector<apache::thrift::frozen::schema::MemoryField, std::__1::allocator<apache::thrift::frozen::schema::MemoryField> >::push_back;
Time: 0.007202000 seconds | std::__1::map<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >::emplace<std::__1::pair<cpp2::Struct1, bool> >;
Time: 0.007165999 seconds | std::__1::vector<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int>, std::__1::allocator<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::reserve;
Time: 0.007160999 seconds | std::__1::vector<std::__1::pair<std::__1::basic_string<char>, signed char>, std::__1::allocator<std::__1::pair<std::__1::basic_string<char>, signed char> > >::reserve;
Time: 0.007151000 seconds | std::__1::vector<std::__1::pair<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double>, std::__1::allocator<std::__1::pair<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double> > >::reserve;
Time: 0.007150000 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >::emplace<std::__1::pair<signed char, long long> >;
Time: 0.007122000 seconds | std::__1::vector<std::__1::pair<signed char, std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<signed char, std::__1::basic_string<char> > > >::reserve;
Time: 0.007111000 seconds | std::__1::vector<std::__1::pair<cpp2::Struct2, long long>, std::__1::allocator<std::__1::pair<cpp2::Struct2, long long> > >::reserve;
Time: 0.007092000 seconds | std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > >::emplace<std::__1::pair<short, double> >;
Time: 0.007039000 seconds | std::__1::map<short, apache::thrift::frozen::schema::Layout, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Layout> > >;
Time: 0.007030999 seconds | std::__1::vector<std::__1::pair<cpp2::Struct1, bool>, std::__1::allocator<std::__1::pair<cpp2::Struct1, bool> > >::reserve;
Time: 0.007022000 seconds | std::__1::vector<std::__1::pair<int, std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<int, std::__1::basic_string<char> > > >::reserve;
Time: 0.006990000 seconds | std::__1::vector<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler>, std::__1::allocator<std::__1::shared_ptr<apache::thrift::TProcessorEventHandler> > >::push_back;
Time: 0.006935000 seconds | std::__1::vector<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char>, std::__1::allocator<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >::reserve;
