.699635339 seconds | CompleteTranslationUnit;
.000793000 seconds | std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > >::map;
.001261999 seconds | std::__1::pair<const int, int>;
.005137999 seconds | std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >;
.005271000 seconds | std::__1::map<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >;
.006089000 seconds | std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >;
.000668999 seconds | std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::map;
.000623999 seconds | std::__1::map<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >::map;
.000614999 seconds | std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >::map;
.000812999 seconds | std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::map;
.000794999 seconds | std::__1::map<cpp2::Struct1, bool, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, bool> > >::map;
.000785000 seconds | std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >::map;
.000530000 seconds | std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int>;
.001080999 seconds | std::__1::pair<const cpp2::Struct1, bool>;
.001252000 seconds | std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short>;
.005209000 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double> > >;
.001737999 seconds | std::__1::vector<long long, std::__1::allocator<long long> >;
.000666999 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double> > >::map;
.000108999 seconds | std::__1::vector<long long, std::__1::allocator<long long> >::vector;
.000887999 seconds | std::__1::map<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double, std::__1::less<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > > >, std::__1::allocator<std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double> > >::map;
.000260000 seconds | std::__1::vector<long long, std::__1::allocator<long long> >::vector;
.000070000 seconds | std::__1::allocator<int>;
.001713000 seconds | std::__1::vector<int, std::__1::allocator<int> >;
.000053999 seconds | std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > >;
.008716999 seconds | std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >;
.001232000 seconds | std::__1::pair<const std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double>;
.000074999 seconds | std::__1::error_code::error_code;
.006018999 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >;
.000194000 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >::map;
.000791999 seconds | std::__1::map<signed char, long long, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, long long> > >::map;
.000510999 seconds | std::__1::pair<const signed char, long long>;
.004187000 seconds | std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >;
.000151999 seconds | std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >::set;
.000763000 seconds | std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >::set;
.004853999 seconds | std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >;
.001775999 seconds | std::__1::vector<cpp2::Struct8, std::__1::allocator<cpp2::Struct8> >;
.003112000 seconds | std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >;
.000184000 seconds | std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >::set;
.000105999 seconds | std::__1::vector<cpp2::Struct8, std::__1::allocator<cpp2::Struct8> >::vector;
.000550000 seconds | std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >::set;
.000766000 seconds | std::__1::set<short, std::__1::less<short>, std::__1::allocator<short> >::set;
.000261000 seconds | std::__1::vector<cpp2::Struct8, std::__1::allocator<cpp2::Struct8> >::vector;
.000747000 seconds | std::__1::set<long long, std::__1::less<long long>, std::__1::allocator<long long> >::set;
.005265000 seconds | std::__1::map<signed char, float, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, float> > >;
.000153999 seconds | std::__1::map<signed char, float, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, float> > >::map;
.000801999 seconds | std::__1::map<signed char, float, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, float> > >::map;
.001291999 seconds | std::__1::pair<const signed char, float>;
.000184999 seconds | std::__1::weak_ptr<apache::thrift::concurrency::Thread>;
.000542999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::Thread>;
.000518000 seconds | std::__1::shared_ptr<apache::thrift::concurrency::Runnable>;
.003217000 seconds | std::__1::unique_ptr<folly::IOBufQueue, std::__1::default_delete<folly::IOBufQueue> >;
.000568000 seconds | std::__1::shared_ptr<apache::thrift::util::THttpClientParser>;
.001897999 seconds | std::__1::vector<unsigned short, std::__1::allocator<unsigned short> >;
.008604999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >;
.000304999 seconds | std::__1::__wrap_iter<unsigned short *>;
.000067000 seconds | std::__1::__wrap_iter<unsigned short *>::__wrap_iter;
.000078999 seconds | std::__1::move<std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > > &>;
.000158000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::map;
.008386999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::swap;
.000164000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::map;
.005403000 seconds | std::__1::map<short, apache::thrift::frozen::schema::Field, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Field> > >;
.000155999 seconds | std::__1::map<short, apache::thrift::frozen::schema::Field, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Field> > >::map;
.007039000 seconds | std::__1::map<short, apache::thrift::frozen::schema::Layout, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Layout> > >;
.000151000 seconds | std::__1::map<short, apache::thrift::frozen::schema::Layout, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Layout> > >::map;
.000241999 seconds | std::__1::__map_const_iterator<std::__1::__tree_const_iterator<std::__1::__value_type<short, apache::thrift::frozen::schema::Field>, std::__1::__tree_node<std::__1::__value_type<short, apache::thrift::frozen::schema::Field>, void *> *, long> >;
.004926999 seconds | std::__1::__value_type<short, apache::thrift::frozen::schema::Field>;
.000097000 seconds | std::__1::__tree_node<std::__1::__value_type<short, apache::thrift::frozen::schema::Field>, void *>;
.000224999 seconds | std::__1::__map_const_iterator<std::__1::__tree_const_iterator<std::__1::__value_type<short, apache::thrift::frozen::schema::Layout>, std::__1::__tree_node<std::__1::__value_type<short, apache::thrift::frozen::schema::Layout>, void *> *, long> >;
.006781000 seconds | std::__1::__value_type<short, apache::thrift::frozen::schema::Layout>;
.001908999 seconds | std::__1::vector<apache::thrift::frozen::schema::MemoryField, std::__1::allocator<apache::thrift::frozen::schema::MemoryField> >;
.000321000 seconds | std::__1::__wrap_iter<const apache::thrift::frozen::schema::MemoryField *>;
.000211999 seconds | folly::hash::hash_range;
.000064000 seconds | std::__1::__wrap_iter<const apache::thrift::frozen::schema::MemoryField *>::__wrap_iter;
.000068999 seconds | std::__1::move<apache::thrift::frozen::schema::MemoryField &>;
.000125000 seconds | apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>;
