Time: 4.703337900 seconds | CompleteTranslationUnit;
Time: 0.009542000 seconds | std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >;
Time: 0.009487999 seconds | std::__1::set<std::__1::map<bool, float, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, float> > >, std::__1::less<std::__1::map<bool, float, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, float> > > >, std::__1::allocator<std::__1::map<bool, float, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, float> > > > >;
Time: 0.009206999 seconds | std::__1::operator==<std::__1::map<example::thrift19::Struct0, bool, std::__1::less<example::thrift19::Struct0>, std::__1::allocator<std::__1::pair<const example::thrift19::Struct0, bool> > >, std::__1::less<std::__1::map<example::thrift19::Struct0, bool, std::__1::less<example::thrift19::Struct0>, std::__1::allocator<std::__1::pair<const example::thrift19::Struct0, bool> > > >, std::__1::allocator<std::__1::map<example::thrift19::Struct0, bool, std::__1::less<example::thrift19::Struct0>, std::__1::allocator<std::__1::pair<const example::thrift19::Struct0, bool> > > > >;
Time: 0.008986000 seconds | std::__1::operator==<std::__1::map<double, bool, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, bool> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<double, bool, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, bool> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<double, bool, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, bool> > >, std::__1::basic_string<char> > > >;
Time: 0.008923999 seconds | std::__1::map<short, example::thrift32::Struct1, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, example::thrift32::Struct1> > >;
Time: 0.008754000 seconds | std::__1::map<short, long long, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, long long> > >::map;
Time: 0.008741999 seconds | std::__1::map<example::thrift19::Struct0, bool, std::__1::less<example::thrift19::Struct0>, std::__1::allocator<std::__1::pair<const example::thrift19::Struct0, bool> > >;
Time: 0.008307999 seconds | std::__1::map<long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> > > > >;
Time: 0.008268999 seconds | std::__1::map<long long, std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > > > >;
Time: 0.008201000 seconds | std::__1::pair<const std::__1::basic_string<char>, std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > > >;
